date,firm,publisher,Likud,Yesh_Atid,Rel_Zionism,Otzma_Yehudit,National_Unity,Shas,UTJ,Yisrael_Beiteinu,Raam,Hadash_Taal,Labor,Meretz,Balad,lead,gov_total,source_url,date_parsed,dems,New_Hope,Bennett_2026,Blue_White,Reservists,Yashar,Joint_List,Joint_List_1,Joint_List_2
1 Nov 2022,2022 legislative election[125],2022 legislative election[125],32.0,24.0,14.0,14.0,12.0,11.0,7.0,6.0,5.0,5.0,4.0,-3.16,-2.91,8,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2022-11-01,,,,,,,,,
23 Dec 2022,Panels Politics,Maariv[124],35.0,26.0,12.0,12.0,10.0,9.0,8.0,4.0,4.0,,4.0,4.0,4.0,9,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2022-12-23,,,,,,,,,
1 Jan 2023,Camil Fuchs,Channel 13[122],31.0,26.0,12.0,12.0,12.0,8.0,7.0,6.0,6.0,4.0,4.0,4.0,,5,58.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-01-01,,,,,,,,,
26 Jan 2023,Panels Politics,Maariv[121],31.0,27.0,5.0,8.0,15.0,9.0,7.0,5.0,-2.0,4.0,4.0,5.0,-2.4,4,60.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-01-26,,,,,,,,,
2 Feb 2023,Direct Polls,Channel 14[120],30.0,24.0,6.0,8.0,12.0,12.0,8.0,6.0,5.0,5.0,4.0,,,6,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-02,,,,,,,,,
3 Feb 2023,Midgam,HaHadashot 12[118][119],30.0,24.0,14.0,14.0,14.0,11.0,7.0,6.0,5.0,5.0,-2.4,4.0,-1.8,6,62.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-03,,,,,,,,,
20 Feb 2023,Camil Fuchs,Channel 13[117],27.0,26.0,12.0,12.0,14.0,10.0,7.0,5.0,6.0,5.0,4.0,,4.0,1,56.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-20,,,,,,,,,
22 Feb 2023,Direct Polls,Channel 14[115][116],31.0,23.0,7.0,7.0,13.0,11.0,8.0,6.0,5.0,5.0,4.0,-3.2,,8,64.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-22,,,,,,,,,
24 Feb 2023,Panels Politics,Maariv[114],26.0,27.0,5.0,7.0,19.0,10.0,7.0,5.0,-2.6,5.0,5.0,4.0,-2.1,1,55.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-24,,,,,,,,,
27 Feb 2023,Kantar,Kan 11[113],29.0,26.0,13.0,13.0,15.0,10.0,7.0,5.0,6.0,5.0,-3.1,4.0,-3.0,3,59.0,https://en.wikipedia.org/wiki/2022%E2%80%932023_opinion_polling_for_the_2026_Israeli_legislative_election,2023-02-27,,,,,,,,,
